DOSBase V.1.5 BETA Generated List
(C)2000 Clint Kennedy.  All Rights Reserved.
Lucky In Love                                     Sherrié Austin
Lullaby                                           Shawn Mullins
Macarena (Bayside Boys Remix)                     Los Del Rio
Macho Man                                         Village People
Magnificent                                       Smart E
Make 'Em Say Uhh                                  Master P
Mamma Said Knock You Out                          LL Cool J
Maria Maria                                       Santana Featuring The Product G&B
Mary Jane's Last Dance                            Tom Petty & The Heartbreakers
Me And You                                        Kenny Chesney
Megamix                                           C&C Music Factory
Missing (Remix)                                   Everything But The Girl
Missing My Baby                                   Selena
MMMBop                                            Hanson
Mo Money Mo Problems                              Notorius BIG
Mo Money Mo Problems (Remix)                      Notorius B.I.G.
Mony Mony                                         Billy Idol
More Human Than Human                             White Zombie
More Human Than Human (Remix)                     White Zombie
Move Your Body                                    Eiffel 65
Mr. Blue                                          Garth Brooks
My All                                            Mariah Carey
My Ding-a-ling                                    Chuck Berry
My Father's Eyes                                  Eric Clapton
My Girl                                           The Temptations
My Heart Will Go On                               Celine Dion
My Heart Will Go On                               Kenny G
My Heart Will Go On (Movie Mix)                   Celine Dion
My Love Is The Shhh                               Something For The People
My Lovin' (You're Never Gonna Get It)             En Vogue
My Name Is                                        Eminem
My Prerogative (Extended Remix)                   Bobby Brown
Neon Moon                                         Brooks & Dunn
Never Ever                                        All Saints
New Way To Fly                                    Garth Brooks
No Pigeons                                        Sporty Thieves
No Place That Far                                 Sara Evans
No Scrubs                                         TLC
No Tengo Dinero                                   Los Umbrellos
Nothin' But a Good Time                           Poison
Nothin' But The Taillights                        Clint Black
Nothing's Gonna Stop Us Now                       Jefferson Starship
Ocean Size                                        Jane's Addiction
Oh What A Night (Extended Remix)                  4 Seasons
Old Time Rock & Roll                              Bob Seger
On And On                                         Erykah Badu
On Bended Knee                                    Boyz 2 Men
One Headlite                                      The Wallflowers
One More Night                                    Phil Collins
One Sweet Day                                     Mariah Carey & Boyz To Men
Only In My Dreams                                 Debbie Gibson
Paradise City                                     Guns-N-Roses
Pickup Man                                        Joe Diffie
Picture This                                      Jim Brickman
Pink                                              Aerosmith
Plush                                             Stone Temple Pilots
Pony                                              Ginuwine
Possum Kingdom                                    Toadies
Pretty Fly For A White Guy                        Offspring
Pump Up The Volume (Remix)                        MARRS
Pure Energy                                       Information Society
Purple Haze                                       Jimi Hendrix
Push                                              Matchbox 20
Quit Playing Games With My Heart                  Backstreet Boys
Rag Doll                                          Aerosmith
Rapper's Delight                                  Def Squad
Rapper's Delight                                  Sugar Hill Gang
Ray Of Light                                      Madonna
Red Light Special                                 TLC
Rescue Me                                         Madonna
Respect                                           Aretha Franklin
Return of the Mack                                Mark Morrison
Right Here Waiting                                Richard Marx
Rock Around the Clock                             Bill Haley
Rockin Robin                                      Bobby Day
Rodeo                                             Garth Brooks
Roll With It                                      Steve Winwood
Rump Shaker                                       Wreckx-N-Effect
Run Away                                          Real McCoy
Same Old Story                                    Garth Brooks
Satisfied                                         Richard Marx
Save Tonight                                      Eagle Eye Cherry
Say Hey If You Feel Alright                       Crystal Waters
Say My Name                                       Destiny's Child
Say You'll Be There                               Spice Girls
Secret                                            Madonna
Secret (Dance Remix)                              Madonna
Secret Garden                                     Bruce Springsteen
See U When U Get There                            Coolio
Self Esteem                                       Offspring
Semi-Charmed Life                                 Third Eye Blind
Sesame's Treet                                    Smart E
Sex & Candy                                       Marcy's Playground
Sexual Healing                                    Marvin Gaye
Shameless                                         Garth Brooks
She Talks To Angels                               Black Crowes
She's Got Skillz                                  All 4 One
Should've Been A Cowboy                           Toby Kieth
Shove It                                          Def Tones
Show Me Love                                      Robyn
Shy Guy                                           Diana King
Signs                                             Tesla
Silent Lucidity                                   Queensrych
Sleigh Ride                                       Wynton Marsalis
Smooth (Dance Remix)                              Santana
So Into You                                       Tamia
So Much In Love                                   All 4 One
So Whatcha Want                                   The Beastie Boys
Soda Pop                                          Britney Spears
Someday                                           Mariah Carey
Someone To Love                                   Jon B. & Babyface
Something To Believe In                           Poison
Sometimes                                         Britney Spears
Song For The Dumped                               Ben Folds Five
Soul To Squeeze                                   Red Hot Chili Peppers
Spaz Attack                                       2NU
Speed Racer (Hardcore Mix)                        Alpha Team
Spice Up Your Life                                Spice Girls
Spiderwebs                                        No Doubt
Stand By Me                                       Ben King
Still DRE (Featuring Snoop Dog Edited)            Dr. Dre
Stink Fist                                        Tool
Strawberry Wine                                   Deana Carter
Suck My Kiss                                      Red Hot Chili Peppers
Summer Nights                                     John Travolta & Olivia Newton John
Sunny Came Home                                   Shawn Colvin
Super Freak                                       Rick James
Superman's Dead                                   Our Lady Peace
Sweet Dreams                                      Eurythmics
T-R-O-U-B-L-E                                     Travis Tritt
Take A Look Around                                Limp Bizkit
Take My Breath Away                               Berlin
Take On Me (Remix)                                A-Ha
Teddy Bear                                        Elvis
That Ain't My Truck                               Rhett Akins
That Don't Impress Me Much                        Shania Twain
That's The Way Love Goes                          Janet Jackson
The Beaches Of Cheyenne                           Garth Brooks
The Boy Is Mine                                   Brandy & Monica
The Car                                           Jeff Carson
The Cup Of Life                                   Ricky Martin
The Dance                                         Garth Brooks
The Day She Left Tulsa                            Wade Hayes
The Difference                                    The Wallflowers
The Earth, The Sun, The Rain                      Color Me Badd
The Eye Of The Tiger                              Survivor
The First Night                                   Monica
The Heat Is On                                    Glenn Fry
The Humpty Dance                                  Digital Underground
The Jock Jam                                      ESPN Various
The New Pollution                                 Beck
The Power Of Goodbye                              Madonna
The Power Of Love                                 Huey Lewis & The News
The Rainbow Connection                            Kermit The Frog
The Sign                                          Ace Of Base
The Sweetest Thing                                U2
The Thunder Rolls                                 Garth Brooks
The Unforgiven                                    Metallica
The Way                                           Fastball
The Way You Look Tonight                          Frank Sinatra
These Arms                                        All 4 One
Thinkin' Bout It                                  Gerald Lever
This Is How We Do It                              Monell Jordan
This Is How We Party                              SOAP
This Is Ponderous                                 2NU
This Is Your Night                                Amber
This Kiss                                         Faith Hill
Thong Song                                        Sisqo
Thriller                                          Michael Jackson
Time After Time                                   INOJ
Time Of Your Life                                 Green Day
To Get Me To You                                  Lila McCann
To Make You Feel My Love                          Garth Brooks
Too Close                                         Next
Too Legit To Quit                                 M.C. Hammer
Tootsie Roll                                      69 Boyz
Torn                                              Creed
Torn                                              Natalie Imbruglia
Touch, Peel, And Stand                            Days Of The New
Trashy Women                                      Confederate Railroad
Trespass                                          Ice-T & Ice Cube
Truly Madly Deeply                                Savage Garden
Trust                                             Megadeth
Tubthumping                                       Chumbawumba
Twist & Shout                                     The Beatles
Two Of A Kind, Workin' On A Full House            Garth Brooks
Two Pina Coladas                                  Garth Brooks
U Can't Touch This                                M.C. Hammer
U Make Me Wanna                                   Usher
U Make Me Wanna (Remix)                           Usher
Unanswered Prayers                                Garth Brooks
Unchained Melody                                  The Righteous Brothers
Under The Bridge                                  Red Hot Chili Peppers
Uninvited                                         Alanis Morrisete
Valentine                                         Martina McBride
Victim Of The Game                                Garth Brooks
Virtual Insanity                                  Jamiroquoi
Vogue                                             Madonna
Volcano Girls                                     Veruca Salt
Voodoo Child                                      Jimi Hendrix
Walk Like An Egyptian                             The Bangles
Walk On The Ocean                                 Toad The Wet Sprocket
Walk This Way                                     Aerosmith
Walkin' On Sunshine                               Katrina & The Waves
Walking After You                                 Foo Fighters
Walking On The Sun                                Smashmouth
Wanna Be                                          Spice Girls
Water Runs Dry                                    Boyz 2 Men
Waterfalls                                        TLC
We Like To Party                                  Vengaboys
We Tryin' To Stay Alive                           Wyclef Jean
Weird                                             Hanson
Welcome To The Jungle                             Guns N Roses
What A Girl Wants (Radio Mix)                     Christina Aguilera
What A Wonderful World                            Louis Armstrong
What I Got                                        Sublime
What I Like About You                             Romantics
What If I Said                                    Anita Cochran & Steve Wariner
What Is Love                                      Haddaway
What It's Like                                    Everlast
What Would You Say                                Dave Matthews Band
What's It Gonna Be                                Busta Rhymes Feat. Janet Jackson
What's Up                                         4 Non Blondes
Whatcha Gonna Do With A Cowboy                    Chris LeDoux & Garth Brooks
Whatta Man                                        Salt-n-Pepa
When Can I See You Again                          Babyface
When I Close My Eyes                              Shanice
When I Fall In Love                               Celine Dion & Clive Griffen
When I Fall In Love                               Nat King Cole
When The Lights Go Out                            Five
When You Believe                                  Whitney Houston & Mariah Carey
Where Have All The Cowboys Gone                   Paula Cole
Where the Green Grass Grows                       Tim McGraw
Where's It At                                     Beck
Wherever You Go                                   Voices Of Theory
Whip It                                           Devo
Who Dat                                           JT Money Feat. Soledad
Whoomp There It Is (Remix)                        Tag Team
Whoot There It Is                                 95 South
Whose Bed Have Your Boots Been Under              Shania Twain
Why                                               Jamie Walters
Wild Horses                                       Garth Brooks
Wild Wild West                                    Kool Moe Dee
Will 2K                                           Will Smith Featuring K-Ci
Winter Wonderland                                 Wynton Marsalis
With You                                          Lila McCann
Word Up                                           Cameo
Wrong Way                                         Sublime
Wynonna's Big Brown Beaver                        Primus
YMCA                                              Village People
You Are Not Alone                                 Michael Jackson
You Get What You Give                             New Radicals
You Give Love A Bad Name                          Bon Jovi
You Gotta Believe                                 Marky Mark & The Funky Bunch
You Learn                                         Alanis Morissette
You Want This                                     Janet Jackson
You're Still The One                              Shania Twain
Zombie                                            The Cranberries
Zoom                                              Dr. Dre & LL Cool J
